X,Y,Time
1225.3,245.5,1607623212073
1227.7,245.3,1607623212077
1229.7,244.8,1607623212081
1230.2,244.0,1607623212085
1230.2,243.5,1607623212089
1230.1,243.5,1607623212093
1229.9,243.7,1607623212097
1229.6,243.8,1607623212101
1229.5,243.8,1607623212105
1229.7,243.7,1607623212109
1229.8,243.8,1607623212113
1229.9,244.1,1607623212117
1230.0,244.2,1607623212121
1230.4,244.1,1607623212125
1231.3,243.6,1607623212129
1232.7,241.9,1607623212133
1234.4,240.7,1607623212137
1236.6,240.9,1607623212141
1238.4,242.4,1607623212145
1240.7,244.4,1607623212149
1245.9,245.0,1607623212153
1258.3,242.9,1607623212157
1275.1,240.0,1607623212161
1287.1,237.2,1607623212165
1288.6,234.1,1607623212169
1281.2,232.2,1607623212173
1273.6,230.4,1607623212177
1270.7,230.3,1607623212181
1271.9,230.6,1607623212185
1273.1,231.1,1607623212189
1274.0,231.3,1607623212193
1275.0,231.3,1607623212197
1276.2,231.1,1607623212201
1277.7,230.8,1607623212205
1278.9,230.4,1607623212209
1279.4,230.0,1607623212213
1279.1,229.8,1607623212217
1278.3,230.1,1607623212221
1277.0,230.8,1607623212225
1276.0,231.7,1607623212229
1275.3,232.2,1607623212233
1275.7,232.9,1607623212237
1276.4,233.5,1607623212241
1277.1,234.0,1607623212245
1277.3,233.5,1607623212249
1277.4,232.4,1607623212253
1277.5,231.4,1607623212257
1278.0,231.0,1607623212261
1278.5,231.2,1607623212265
1279.2,231.5,1607623212269
1280.0,231.3,1607623212273
1279.9,231.0,1607623212277
1279.5,230.6,1607623212281
1279.3,230.2,1607623212285
1279.7,230.0,1607623212289
1280.6,229.9,1607623212293
1281.1,230.1,1607623212297
1281.0,230.3,1607623212301
1280.8,230.3,1607623212305
1280.7,230.2,1607623212309
1280.4,230.2,1607623212313
1280.2,230.3,1607623212317
1280.2,230.7,1607623212321
1280.3,230.9,1607623212325
1280.2,230.9,1607623212329
1280.1,230.6,1607623212333
1280.3,229.6,1607623212337
1281.5,228.6,1607623212341
1282.9,227.7,1607623212345
1284.3,227.3,1607623212349
1284.8,227.2,1607623212353
1284.9,226.8,1607623212357
1284.8,225.8,1607623212361
1284.8,225.3,1607623212365
1284.9,226.0,1607623212369
1284.7,227.2,1607623212373
1284.4,227.9,1607623212377
1284.0,227.4,1607623212381
1284.1,226.1,1607623212385
1284.3,225.5,1607623212389
1284.7,225.7,1607623212393
1285.6,226.1,1607623212397
1286.5,226.6,1607623212401
1287.4,227.4,1607623212405
1287.5,228.1,1607623212409
1286.2,228.2,1607623212413
1284.6,227.8,1607623212417
1283.8,227.3,1607623212421
1283.8,226.7,1607623212425
1284.9,226.3,1607623212429
1285.9,225.8,1607623212433
1286.4,225.2,1607623212437
